Account Title,First Name,Last Name,PI Rank,Sponsor Name,Program Name,FacultyName,DepartmentName,Project Start Date,Project End Date,Award Type,CoI Team Count,SemiColon Co Investigators FirstLast,Column1,Column2,Column3
CFI Infrastructure Operating Fund,Sean,Smukler,Assistant Professor,Canada Foundation for Innovation,Infrastructure Operating Fund,Land and Food Systems,,2014-04-01 00:00:00.0000000,2020-03-31 00:00:00.0000000,Grant,,,,,
Measuring progress towards food sovereignty: the effect of mediated markets on re-defining socio-ecological value in the food system,Hannah,Wittman,Associate Professor,Social Sciences and Humanities Research Council of Canada (SSHRC),Insight Grants,Land and Food Systems,Human and Animal Nutrition,2015-03-15 00:00:00.0000000,2020-03-31 00:00:00.0000000,Grant,,,,,
Functional Analyses of 200 Non-annotated Genes in Saccharomyces Cerevisiae,Hennie J. J.,Van Vuuren,Professor,Mark Anthony Group Inc.,,Land and Food Systems,Wine Research Centre,2013-04-01 00:00:00.0000000,2017-07-12 00:00:00.0000000,Contract,,,,,
Carbon footprint taxes,Carol,McAusland,Associate Professor,UBC Faculty of Land and Food Systems,,Land and Food Systems,Food and Resource Economics,2014-04-01 00:00:00.0000000,2019-06-30 00:00:00.0000000,Grant,,,,,
Unrestricted Research Funds,Sumeet,Gulati,Associate Professor,UBC Unrestricted Research Funds,,Land and Food Systems,,2002-07-01 00:00:00.0000000,2099-03-31 00:00:00.0000000,Grant,,,,,
Reducing Listeria monocytogenes contamination in soft-ripened cheese,Siyun,Wang,Assistant Professor,Donations for Health Science Research,,Land and Food Systems,Food Science,2017-05-01 00:00:00.0000000,2018-04-30 00:00:00.0000000,Grant,,,,,
Identification and characterization of indigenous B.C. wine yeast strains,Vivien R.,Measday,Associate Professor,Natural Sciences and Engineering Research Council of Canada (NSERC),Discovery Grants Program - Individual,Land and Food Systems,,2016-04-01 00:00:00.0000000,2021-03-31 00:00:00.0000000,Grant,,,,,
Identification and characterization of novel genetic factors contributing to the significance of listeria monocytogenes as a foodborne pathogen,Kevin,Allen,Assistant Professor,Natural Sciences and Engineering Research Council of Canada (NSERC),Discovery Grants Program - Individual,Land and Food Systems,Food Science,2013-04-01 00:00:00.0000000,2020-03-31 00:00:00.0000000,Grant,,,,,
UBC Unrestricted Research Funds,Hennie J. J.,Van Vuuren,Professor,UBC Unrestricted Research Funds,,Land and Food Systems,Wine Research Centre,2015-12-03 00:00:00.0000000,2099-03-31 00:00:00.0000000,Grant,,,,,
Maillard reaction products and intestinal oxidative balance,David D.,Kitts,Professor,Natural Sciences and Engineering Research Council of Canada (NSERC),Discovery Grants Program - Individual,Land and Food Systems,Food Science,2006-04-01 00:00:00.0000000,2011-03-31 00:00:00.0000000,Grant,,,,,
"Molecular Analysis of baculovirus regulatory factors involved in viral gene expression, replication, and assembly",David A.,Theilmann,Adjunct Professor,Natural Sciences and Engineering Research Council of Canada (NSERC),UBC/NSERC General Research Fund,Land and Food Systems,Agroecology,2017-04-01 00:00:00.0000000,2017-12-31 00:00:00.0000000,Grant,,,,,
"Molecular Analysis of baculovirus regulatory factors involved in viral gene expression, replication, and assembly",David A.,Theilmann,Adjunct Professor,Natural Sciences and Engineering Research Council of Canada (NSERC),Discovery Grants Program - Individual,Land and Food Systems,Agroecology,2009-04-01 00:00:00.0000000,2016-03-31 00:00:00.0000000,Grant,,,,,
Support for role of the nuclear pore in Ty1 transposition,Vivien R.,Measday,Associate Professor,UBC Faculty of Land and Food Systems,,Land and Food Systems,Wine Research Centre,2017-04-01 00:00:00.0000000,2019-03-31 00:00:00.0000000,Grant,,,,,
NSERC Industrial Research in Dairy Cattle Welfare,Marina Andrea G.,von Keyserlingk,Professor,BC Dairy Association,,Land and Food Systems,Animal Welfare,2014-07-01 00:00:00.0000000,2019-06-30 00:00:00.0000000,Grant,,,,,
Integrated cardiorespiratory physiology,Anthony (Tony) P.,Farrell,Professor,Natural Sciences and Engineering Research Council of Canada (NSERC),Discovery Grants Program - Individual,Land and Food Systems,,2015-04-01 00:00:00.0000000,2020-03-31 00:00:00.0000000,Grant,,,,,
Development of paper-based immunoassays to detect food chemical hazards,Xiaonan,Lu,Assistant Professor,Natural Sciences and Engineering Research Council of Canada (NSERC),Collaborative Research and Development Grants - Project,Land and Food Systems,Food Science,2016-04-01 00:00:00.0000000,2019-03-31 00:00:00.0000000,Grant,,,,,
Evaluation of Insecticidal Formulations Against Selected Horticultural Pests,Murray B.,Isman,Professor,"Morse Enterprises Limited, Inc. dba Keyplex",,Land and Food Systems,Agroecology,2015-04-02 00:00:00.0000000,2017-12-31 00:00:00.0000000,Contract,,,,,
